0.704	0.704	0.704	0.452	0.46	0.554	0.294
0.668	0.668	0.668	0.422	0.43	0.528	0.332
0.892	0.892	0.976	0.826	0.892	0.874	0.024
0.912	0.912	0.912	0.676	0.676	0.822	0.088
0.884	0.884	0.884	0.624	0.63	0.77	0.116
0.98	0.98	0.98	0.828	0.828	0.962	0.02
0.898	0.898	0.898	0.602	0.644	0.762	0.102
0.93	0.93	0.93	0.686	0.69	0.888	0.07
0.978	0.978	0.978	0.96	0.96	0.978	0.022
0.968	0.968	0.976	0.94	0.94	0.976	0.024
0.82	0.82	0.82	0.756	0.758	0.816	0.18
0.768	0.768	0.998	0.762	0.768	0.992	0.002
0.738	0.738	0.738	0.596	0.68	0.612	0.262
0.708	0.708	0.708	0.392	0.632	0.414	0.292
0.852	0.852	0.864	0.844	0.852	0.844	0.136
0.75	0.75	0.75	0.574	0.722	0.602	0.25
0.834	0.834	0.834	0.75	0.75	0.834	0.166
0.782	0.782	0.782	0.672	0.738	0.716	0.218
0.84	0.84	0.84	0.768	0.818	0.79	0.16
0.998	0.998	0.998	0.98	0.98	0.998	0.002
0.698	0.698	0.698	0.51	0.654	0.534	0.302
0.818	0.818	0.818	0.658	0.66	0.816	0.182
1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.726	0.726	1.0	0.724	0.726	0.986	0.0
0.572	0.572	0.572	0.406	0.406	0.544	0.426
0.548	0.548	0.548	0.392	0.392	0.526	0.45
0.934	0.934	0.934	0.85	0.928	0.85	0.066
0.834	0.834	0.834	0.62	0.62	0.792	0.166
0.756	0.756	0.756	0.562	0.562	0.718	0.244
0.956	0.956	0.956	0.848	0.848	0.956	0.044
0.92	0.92	0.92	0.388	0.43	0.846	0.078
0.934	0.934	0.934	0.484	0.49	0.894	0.066
0.948	0.948	0.948	0.818	0.818	0.948	0.052
0.962	0.962	0.962	0.812	0.812	0.962	0.038
0.752	0.752	0.752	0.498	0.508	0.728	0.248
0.782	0.782	0.782	0.62	0.62	0.782	0.218
0.696	0.696	0.696	0.49	0.584	0.558	0.304
0.716	0.716	0.716	0.39	0.608	0.426	0.284
0.862	0.862	0.862	0.794	0.85	0.794	0.138
0.752	0.752	0.752	0.556	0.692	0.566	0.248
0.878	0.878	0.878	0.802	0.802	0.878	0.122
0.762	0.762	0.762	0.626	0.702	0.686	0.238
0.866	0.866	0.866	0.73	0.8	0.776	0.134
0.794	0.794	0.794	0.702	0.702	0.794	0.206
0.718	0.718	0.718	0.556	0.678	0.592	0.282
0.798	0.798	0.798	0.632	0.632	0.798	0.202
0.684	0.684	0.684	0.612	0.614	0.654	0.314
0.724	0.724	0.724	0.656	0.724	0.656	0.276
0.536	0.536	0.536	0.412	0.412	0.53	0.464
0.52	0.52	0.52	0.418	0.418	0.52	0.48
0.88	0.88	0.88	0.838	0.876	0.838	0.12
0.786	0.786	0.786	0.648	0.648	0.78	0.212
0.79	0.79	0.79	0.65	0.65	0.778	0.21
0.942	0.942	0.942	0.854	0.854	0.942	0.058
0.914	0.914	0.914	0.34	0.364	0.808	0.086
0.938	0.938	0.938	0.474	0.478	0.916	0.062
0.96	0.96	0.96	0.816	0.816	0.96	0.04
0.94	0.94	0.94	0.812	0.812	0.94	0.06
0.72	0.72	0.72	0.47	0.47	0.72	0.28
0.714	0.714	0.714	0.612	0.612	0.714	0.286
0.68	0.68	0.68	0.458	0.538	0.574	0.32
0.674	0.674	0.674	0.39	0.572	0.426	0.326
0.86	0.86	0.86	0.858	0.86	0.858	0.14
0.698	0.698	0.698	0.544	0.642	0.582	0.302
0.872	0.872	0.872	0.784	0.784	0.872	0.128
0.742	0.742	0.742	0.634	0.678	0.686	0.258
0.826	0.826	0.826	0.742	0.764	0.804	0.174
0.848	0.848	0.848	0.78	0.78	0.848	0.152
0.722	0.722	0.722	0.53	0.672	0.558	0.278
0.748	0.748	0.748	0.614	0.614	0.748	0.252
0.84	0.84	0.84	0.748	0.748	0.84	0.158
0.716	0.716	0.716	0.714	0.716	0.714	0.284
0.848	0.848	0.848	0.78	0.78	0.848	0.15
